Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
7.0900,GROUND,-0.4375,0.0392,9.6890,-0.3138,-0.0400,9.2400,0.1500,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0911,-0.3559,-0.4829,-0.2500
7.1240,GROUND,0.4375,0.0392,9.6890,-0.3138,-0.0400,9.2500,0.1700,0.0000,-0.5500,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0853,0.1866,0.0927,-0.2500
7.1596,GROUND,0.6250,0.0392,9.6890,-0.3138,-0.0200,9.2200,0.1600,0.0100,-0.5800,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0831,0.4976,0.4311,-0.2500
7.1958,GROUND,1.0000,0.0392,9.7282,-0.3138,-0.0300,9.2200,0.1700,0.0000,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0580,0.8284,0.7970,-0.2500
7.2322,GROUND,0.8750,0.0000,9.7282,-0.3530,-0.0300,9.2200,0.1700,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0485,0.8557,0.8569,-0.2500
7.2672,GROUND,-1.3125,0.0392,9.6890,-0.3530,-0.0200,9.2400,0.1400,0.0100,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0694,-0.4629,-0.5008,-0.2500
7.3030,GROUND,-0.3750,0.0785,9.6890,-0.3530,-0.0400,9.2300,0.1500,0.0000,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0771,-0.3808,-0.4275,-0.2500
7.3385,GROUND,-0.8750,0.0392,9.6890,-0.2746,-0.0300,9.2300,0.1900,0.0000,-0.5700,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0801,-0.6386,-0.7145,-0.2500
7.3731,GROUND,-0.3125,0.0000,9.6497,-0.2746,-0.0500,9.2300,0.1400,-0.0100,-0.5400,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.1054,-0.3892,-0.4693,-0.2500
7.4087,GROUND,0.5000,0.0392,9.6890,-0.3530,-0.0400,9.2200,0.1700,0.0000,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0907,0.1992,0.1372,-0.2500
7.4448,GROUND,-0.3125,0.0392,9.7282,-0.3138,-0.0200,9.2500,0.1800,0.0100,-0.5500,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0611,-0.0793,-0.1440,-0.2500
7.4806,GROUND,0.1875,0.0000,9.7282,-0.3138,-0.0300,9.2500,0.1700,-0.0100,-0.5600,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0496,0.1236,0.0643,-0.2500
7.5173,GROUND,-0.8125,0.0392,9.7282,-0.3530,-0.0300,9.2100,0.1300,0.0000,-0.5800,-0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0454,-0.4184,-0.4879,-0.2500
7.5536,GROUND,-0.5000,0.0392,9.6890,-0.3138,-0.0100,9.2200,0.1700,0.0100,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0679,-0.4188,-0.5010,-0.2500
7.5892,GROUND,-0.6875,0.0392,9.6890,-0.3138,-0.0400,9.2300,0.1600,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0766,-0.5223,-0.6239,-0.2500
7.6233,GROUND,1.3750,0.0000,9.6890,-0.3138,-0.0400,9.2400,0.1500,0.0100,-0.5500,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0796,0.6700,0.6299,-0.2500
7.6585,GROUND,0.5000,0.0000,9.7282,-0.3530,-0.0400,9.2400,0.1500,0.0300,-0.5500,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0568,0.5767,0.5566,-0.2500
7.6934,GROUND,-1.0000,0.0392,9.6890,-0.3138,-0.0400,9.2200,0.1600,-0.0100,-0.5700,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0725,-0.3589,-0.4176,-0.2500
7.7283,GROUND,-0.3125,0.0392,9.7282,-0.3530,-0.0400,9.2400,0.1800,0.0000,-0.5600,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0540,-0.2893,-0.3561,-0.2500
7.7647,GROUND,0.1875,0.0785,9.6497,-0.3138,-0.0200,9.2500,0.1800,0.0200,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0954,0.0460,-0.0167,-0.2500
7.8007,GROUND,-0.1875,0.0392,9.7282,-0.3530,-0.0600,9.2300,0.1400,-0.0100,-0.5700,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0628,-0.0627,-0.1240,-0.2500
7.8371,GROUND,0.6250,0.0392,9.6890,-0.3530,-0.0300,9.2300,0.1800,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0745,0.3749,0.3473,-0.2500
7.8704,GROUND,0.0000,0.0392,9.7282,-0.2746,-0.0800,9.2500,0.1200,-0.0400,-0.5400,-0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0549,0.1556,0.1331,-0.2500
7.9063,GROUND,-1.1875,0.0000,9.6890,-0.3530,-0.0300,9.2200,0.1600,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0717,-0.6403,-0.6980,-0.2500
